Membership No  Date Joined  Active  
    12542      2019-9-7     no    
    26075      2018-5-2     no    
    48077      2017-11-11   no    
    76381      2020-1-17    no    
    95862      2020-8-19    no    
    96208      2019-3-19    no    
    33629      2018-8-5     no    
    87971      2015-3-5     no    
    58767      2016-1-20    no    
    98174      2018-6-19    no    
    75941      2015-4-3     no    
    57964      2015-10-17   no    
    49689      2015-12-12   no    
    78987      2016-3-5     no    
    80803      2018-12-12   no    
    83437      2019-2-2     no    
    50599      2020-2-18    no    
    34923      2015-8-11    no    
    40519      2019-12-7    no    
    31597      2016-5-2     no    
    74233      2020-7-5     no    
    31455      2016-12-18   no    
    17611      2016-7-3     no    
    75714      2019-1-9     no    
    85106      2020-2-19    no    
    18369      2020-7-10    no    
    87169      2015-10-23   no    
    44220      2015-12-12   no    
    52315      2018-3-22    no    
    88994      2016-7-14    no    
    84761      2019-12-11   no    
    53363      2015-8-17    no    
