Membership No  Date Joined  Active  
    18761      2017-5-3     yes   
    98410      2016-10-24   yes   
    48957      2016-3-12    yes   
    44764      2018-3-3     yes   
    29996      2020-5-23    yes   
    31450      2018-8-22    yes   
    75563      2017-11-24   yes   
    63454      2016-8-1     yes   
    25266      2018-6-14    yes   
    71858      2020-2-7     yes   
    51678      2020-10-13   yes   
    87169      2015-10-23   no    
    25266      2018-6-14    yes   
    44220      2015-12-12   no    
    52315      2018-3-22    no    
    88994      2016-7-14    no    
    71858      2020-2-7     yes   
    84761      2019-12-11   no    
    53363      2015-8-17    no    
    51678      2020-10-13   yes   
