Membership No  Date Joined  Active  
    56669      2019-7-3     no    
    88565      2017-10-10   no    
    72043      2015-6-1     no    
    45074      2018-3-19    no    
    44826      2015-5-10    no    
    98553      2017-3-21    no    
    26467      2017-7-16    no    
    56888      2019-8-4     no    
    48291      2016-3-12    no    
    90470      2016-12-9    no    
    25563      2018-3-16    no    
    41587      2017-1-12    no    
    40888      2019-7-25    no    
    31109      2018-7-21    no    
    60805      2015-6-22    no    
    72618      2016-3-4     no    
    69990      2015-6-13    no    
    80738      2019-8-4     no    
    66337      2019-12-4    no    
    75926      2019-10-11   no    
    50794      2019-5-1     no    
    98160      2017-9-5     no    
    58611      2020-10-6    no    
    17689      2017-6-4     no    
    69856      2019-8-15    no    
    57490      2017-2-5     no    
    86723      2018-4-8     no    
    52354      2016-12-5    no    
    29022      2017-7-17    no    
    32349      2016-6-12    no    
    97913      2018-4-2     no    
    95767      2017-8-14    no    
    86104      2020-5-24    no    
    95272      2018-8-3     no    
