Membership No  Date Joined  Active  
    67635      2017-8-4     yes   
    82511      2019-3-25    yes   
    15571      2019-5-9     yes   
    93344      2015-6-6     yes   
    31704      2017-7-12    yes   
    28819      2019-7-12    yes   
    88771      2019-7-4     yes   
    96668      2018-6-5     yes   
    13960      2016-4-4     yes   
    19298      2016-5-5     yes   
    44068      2016-2-14    yes   
    88027      2020-3-11    yes   
    71004      2019-12-7    yes   
    63960      2016-10-12   yes   
    58942      2018-5-11    yes   
    62487      2020-9-6     yes   
    63960      2016-10-12   yes   
    58942      2018-5-11    yes   
    62487      2020-9-6     yes   
    95272      2018-8-3     no    
