Id,ResponseId,WebframeHaveWorkedWith
1,2,Express
2,2,Next.js
3,2,Node.js
4,2,React
5,3,ASP.NET CORE
6,10,Express
7,10,Next.js
8,10,Node.js
9,10,React
10,11,Node.js
11,11,React
13,12,ASP.NET
14,12,ASP.NET CORE
15,12,Express
16,12,jQuery
17,12,Node.js
18,12,React
19,19,ASP.NET
20,19,ASP.NET CORE
22,19,jQuery
23,23,ASP.NET CORE
25,24,jQuery
27,27,ASP.NET
28,27,Node.js
29,29,ASP.NET
30,29,ASP.NET CORE
31,29,jQuery
32,29,Node.js
35,30,ASP.NET
36,30,ASP.NET CORE
37,30,jQuery
38,30,Node.js
39,30,React
42,33,Node.js
43,36,ASP.NET
44,36,ASP.NET CORE
46,37,ASP.NET
47,37,ASP.NET CORE
48,37,Spring Boot
49,39,jQuery
51,39,Vue.js
52,41,React
54,44,ASP.NET
55,44,ASP.NET CORE
56,45,Angular
57,45,ASP.NET
58,45,ASP.NET CORE
59,45,jQuery
63,52,Angular
64,52,ASP.NET
65,52,ASP.NET CORE
66,52,Node.js
67,52,React
69,53,Angular
71,53,Node.js
72,53,Spring Boot
73,55,Express
74,55,jQuery
76,55,Node.js
77,62,Angular
79,62,ASP.NET
80,62,ASP.NET CORE
81,62,jQuery
82,65,Spring Boot
83,72,ASP.NET
84,72,ASP.NET CORE
86,72,React
90,75,Next.js
92,75,React
95,75,Vue.js
97,78,Node.js
98,78,React
102,79,Spring Boot
103,79,Vue.js
105,87,ASP.NET CORE
106,87,Express
108,87,Node.js
109,87,Vue.js
110,111,ASP.NET
111,111,ASP.NET CORE
112,111,jQuery
113,111,Node.js
115,113,Node.js
116,113,React
117,113,Vue.js
118,114,Angular
120,114,ASP.NET
121,114,ASP.NET CORE
126,114,jQuery
127,114,Next.js
128,114,Node.js
129,114,React
130,114,Spring Boot
131,114,Vue.js
133,119,ASP.NET
134,119,ASP.NET CORE
135,121,Express
136,121,Node.js
137,122,ASP.NET
138,122,ASP.NET CORE
139,122,jQuery
140,122,Next.js
141,122,Node.js
142,122,React
144,125,Express
149,125,Next.js
150,125,Node.js
152,125,React
153,125,Vue.js
156,127,React
157,129,ASP.NET
158,129,ASP.NET CORE
159,129,jQuery
160,130,ASP.NET CORE
162,130,Vue.js
164,132,Next.js
165,132,Node.js
166,132,React
167,134,ASP.NET CORE
170,134,React
171,138,Express
173,138,Next.js
174,138,Node.js
175,140,Express
177,140,Next.js
178,140,Node.js
179,140,React
181,142,Angular
183,142,jQuery
185,142,React
186,142,Vue.js
187,150,Express
189,150,jQuery
190,150,Node.js
193,150,Vue.js
196,151,ASP.NET CORE
197,151,Express
198,151,Node.js
199,151,React
202,156,Node.js
203,156,React
204,156,Spring Boot
206,158,ASP.NET
207,158,ASP.NET CORE
208,158,React
209,159,Angular
210,159,Express
212,159,Next.js
213,159,Node.js
214,159,React
217,163,Express
219,163,Next.js
220,163,Node.js
221,163,React
222,166,Angular
223,166,ASP.NET
224,166,ASP.NET CORE
225,166,jQuery
226,173,jQuery
228,173,React
230,176,ASP.NET
231,176,Next.js
232,176,Node.js
233,176,Spring Boot
235,181,Express
237,181,jQuery
239,181,Node.js
240,182,ASP.NET CORE
242,182,jQuery
243,182,React
245,183,Angular
246,183,ASP.NET
247,183,ASP.NET CORE
249,183,React
252,185,Node.js
253,185,React
254,189,Angular
256,189,Node.js
257,190,Angular
259,190,ASP.NET
260,190,ASP.NET CORE
262,190,jQuery
263,190,Node.js
264,190,React
265,190,Vue.js
266,191,ASP.NET CORE
269,192,Node.js
270,196,Angular
272,196,Express
273,196,Node.js
274,196,Spring Boot
275,200,React
276,200,Vue.js
277,205,ASP.NET
278,205,ASP.NET CORE
279,205,Express
280,205,React
282,208,Node.js
287,209,React
289,210,Angular
290,210,Express
292,210,Node.js
295,212,Vue.js
297,215,Next.js
298,215,React
299,216,Angular
300,216,ASP.NET
301,216,ASP.NET CORE
302,216,jQuery
303,216,Node.js
304,218,Angular
305,218,ASP.NET
306,218,ASP.NET CORE
307,218,Express
308,218,Node.js
309,218,Vue.js
312,223,jQuery
313,223,Node.js
314,226,Angular
316,226,Express
317,226,Next.js
318,226,Node.js
319,226,React
321,226,Vue.js
322,230,Angular
324,230,jQuery
325,230,Next.js
326,230,Node.js
327,230,React
328,230,Vue.js
329,235,Angular
330,235,Next.js
331,235,Node.js
332,235,React
333,238,Angular
334,238,ASP.NET CORE
336,242,Vue.js
337,243,Angular
339,243,ASP.NET
340,243,ASP.NET CORE
342,243,Express
343,243,jQuery
