Id,ResponseId,WebframeWantToWorkWith
1,2,Express
3,2,Node.js
4,2,React
6,3,ASP.NET CORE
7,10,Express
8,10,Next.js
9,10,Node.js
10,10,React
12,11,Node.js
13,11,React
16,12,ASP.NET CORE
17,12,Express
19,12,Node.js
20,12,React
21,19,ASP.NET CORE
23,23,ASP.NET CORE
27,27,Node.js
28,29,Angular
31,29,ASP.NET CORE
33,29,Next.js
34,29,React
37,30,ASP.NET CORE
39,30,Express
40,30,Next.js
41,30,Node.js
42,30,React
43,30,Vue.js
45,33,Node.js
46,36,ASP.NET CORE
48,37,Spring Boot
50,39,Vue.js
53,41,Vue.js
55,44,ASP.NET CORE
56,45,Angular
58,45,ASP.NET CORE
59,46,FastAPI
62,52,ASP.NET CORE
64,52,FastAPI
66,52,Node.js
69,52,Svelte
70,53,Angular
72,53,Node.js
73,53,Spring Boot
74,55,Express
76,55,Node.js
77,62,Angular
79,62,ASP.NET CORE
81,65,Spring Boot
82,72,ASP.NET CORE
85,75,Svelte
86,75,Vue.js
87,78,Express
88,78,FastAPI
90,78,Node.js
91,78,React
94,79,FastAPI
96,79,Spring Boot
97,79,Svelte
98,79,Vue.js
99,87,ASP.NET CORE
100,87,Express
101,87,FastAPI
102,87,Node.js
103,87,Vue.js
105,111,ASP.NET CORE
106,111,Express
107,111,FastAPI
110,111,Node.js
111,113,Node.js
112,113,Vue.js
114,114,FastAPI
119,119,ASP.NET CORE
120,119,FastAPI
121,121,Express
122,121,Node.js
123,121,Vue.js
124,122,ASP.NET CORE
125,122,Next.js
126,122,Node.js
127,122,React
129,125,Next.js
130,125,Node.js
132,125,React
134,125,Svelte
135,125,Vue.js
137,127,FastAPI
138,127,React
139,129,ASP.NET CORE
143,129,Next.js
144,129,Svelte
145,130,ASP.NET CORE
147,132,Next.js
148,132,Node.js
149,132,React
150,134,ASP.NET CORE
151,134,React
153,138,Node.js
154,138,Svelte
155,140,Express
158,140,Next.js
159,140,Node.js
160,140,React
161,140,Svelte
162,142,Angular
167,150,Express
169,150,Node.js
171,150,Svelte
172,151,Express
173,151,Next.js
174,151,Node.js
176,151,React
177,156,Angular
180,156,Node.js
181,156,React
182,156,Spring Boot
184,158,ASP.NET CORE
187,158,React
188,159,Angular
189,159,Express
191,159,Next.js
192,159,Node.js
193,159,React
194,159,Svelte
195,159,Vue.js
197,163,FastAPI
198,163,Node.js
199,163,React
202,166,Angular
204,166,ASP.NET CORE
206,173,ASP.NET CORE
210,173,Next.js
211,173,Node.js
212,173,React
215,176,Next.js
216,176,Node.js
220,182,ASP.NET CORE
222,183,ASP.NET CORE
223,183,Next.js
224,183,React
227,185,Svelte
229,190,ASP.NET CORE
231,191,Angular
232,191,ASP.NET CORE
235,191,React
237,192,Node.js
238,196,Angular
240,196,ASP.NET CORE
243,196,Express
245,196,Node.js
246,196,Spring Boot
247,196,Vue.js
248,200,React
250,205,Express
251,205,React
253,208,Svelte
254,209,React
255,210,Angular
256,210,Express
258,210,Node.js
259,211,FastAPI
261,212,Vue.js
262,215,Next.js
263,215,React
264,216,Angular
265,216,ASP.NET CORE
267,218,ASP.NET CORE
269,218,Vue.js
272,223,Node.js
274,226,Svelte
275,230,Node.js
276,235,Angular
277,235,Next.js
278,235,Node.js
279,235,React
280,238,Angular
281,238,ASP.NET CORE
283,242,Vue.js
285,243,React
286,254,Angular
287,254,ASP.NET CORE
288,254,Node.js
289,256,FastAPI
290,262,Next.js
291,262,Node.js
292,262,React
293,262,Vue.js
294,263,ASP.NET CORE
296,274,Spring Boot
298,275,Next.js
299,275,Node.js
300,275,React
301,276,ASP.NET CORE
302,276,Next.js
303,276,React
305,280,ASP.NET CORE
307,280,Spring Boot
309,281,ASP.NET CORE
312,284,FastAPI
314,284,Next.js
315,284,Node.js
317,284,React
319,285,FastAPI
321,285,Next.js
322,285,Node.js
323,285,React
325,293,Angular
327,293,Node.js
329,293,Spring Boot
331,299,Spring Boot
332,300,Angular
334,300,ASP.NET CORE
336,300,React
342,315,Next.js
343,315,React
345,318,FastAPI
347,320,Node.js
348,320,Spring Boot
349,320,Svelte
351,324,Next.js
352,324,React
355,326,Svelte
356,331,React
357,331,Svelte
359,333,ASP.NET CORE
362,341,React
363,342,Spring Boot
364,347,Spring Boot
368,351,React
370,351,Vue.js
371,352,Angular
374,352,ASP.NET CORE
375,352,Express
378,352,Next.js
379,352,Node.js
380,352,React
381,352,Spring Boot
382,353,ASP.NET CORE
384,353,Node.js
385,355,Spring Boot
388,359,Node.js
389,360,ASP.NET CORE
390,360,Vue.js
392,367,Next.js
393,367,React
394,372,Node.js
395,372,React
396,372,Spring Boot
397,373,ASP.NET CORE
399,378,ASP.NET CORE
400,378,React
401,378,Svelte
402,380,Svelte
403,380,Vue.js
404,385,ASP.NET CORE
408,385,Vue.js
410,386,FastAPI
412,389,FastAPI
413,389,Next.js
414,389,Node.js
415,389,React
416,391,Next.js
417,391,Node.js
418,391,React
421,391,Svelte
422,393,React
423,395,Express
424,395,Next.js
425,395,Node.js
427,395,React
429,395,Vue.js
430,399,Angular
431,399,ASP.NET CORE
434,399,React
436,400,Vue.js
437,408,FastAPI
438,408,React
439,408,Spring Boot
440,408,Vue.js
441,411,Express
442,411,Node.js
443,411,React
446,412,Node.js
447,412,Spring Boot
448,412,Vue.js
451,413,Express
453,413,Node.js
454,413,React
455,413,Svelte
457,419,Angular
459,419,Express
461,419,Node.js
462,419,React
463,419,Spring Boot
464,419,Vue.js
467,421,FastAPI
468,421,React
469,430,Node.js
472,432,Node.js
473,433,Angular
474,434,ASP.NET CORE
476,434,Node.js
477,434,React
479,444,ASP.NET CORE
480,444,Next.js
481,444,Node.js
482,444,React
483,445,Next.js
485,450,Angular
487,450,Next.js
488,450,Node.js
490,453,Angular
492,453,ASP.NET CORE
493,453,Express
497,464,Express
499,464,Next.js
500,464,Node.js
501,464,React
502,464,Svelte
504,466,FastAPI
507,469,FastAPI
508,471,Angular
510,475,ASP.NET CORE
514,475,FastAPI
517,475,Next.js
518,475,Node.js
520,475,React
522,475,Svelte
523,475,Vue.js
525,480,React
526,480,Spring Boot
529,484,Next.js
530,484,Node.js
533,484,React
534,484,Vue.js
535,486,Express
536,486,Node.js
537,486,React
539,489,Express
542,489,Next.js
543,489,React
544,489,Svelte
545,492,Next.js
546,492,Node.js
547,492,React
549,493,React
550,493,Spring Boot
551,493,Svelte
553,494,Express
555,494,Next.js
556,494,Node.js
559,499,Angular
561,499,ASP.NET CORE
563,500,Express
564,500,Node.js
565,500,Svelte
567,502,ASP.NET CORE
569,502,React
571,506,Node.js
572,506,Vue.js
573,507,Angular
576,507,Node.js
577,507,React
578,509,ASP.NET CORE
580,511,Angular
581,511,ASP.NET CORE
582,511,React
583,515,Express
586,515,Next.js
587,515,React
590,523,FastAPI
593,529,ASP.NET CORE
595,529,Node.js
596,531,ASP.NET CORE
599,531,React
600,531,Vue.js
601,533,Node.js
602,533,Vue.js
604,535,ASP.NET CORE
606,535,Express
608,535,Next.js
609,535,Node.js
610,543,FastAPI
616,548,Node.js
618,548,Svelte
619,549,Angular
620,549,Express
621,549,Node.js
622,549,Spring Boot
623,553,ASP.NET CORE
624,554,ASP.NET CORE
628,557,Express
629,557,Node.js
630,557,React
632,557,Svelte
634,562,Node.js
635,562,React
636,562,Vue.js
637,565,ASP.NET CORE
639,567,Angular
641,567,ASP.NET CORE
642,570,Vue.js
643,571,Next.js
644,571,Node.js
645,571,React
647,571,Spring Boot
649,573,ASP.NET CORE
654,577,Vue.js
656,580,Svelte
657,585,Angular
658,585,Spring Boot
659,588,Spring Boot
662,591,Express
663,591,Node.js
664,591,Spring Boot
665,593,Angular
667,593,ASP.NET CORE
671,601,Angular
673,601,Express
674,601,FastAPI
677,601,Next.js
678,601,Node.js
679,601,React
680,601,Vue.js
683,603,ASP.NET CORE
684,603,Next.js
685,603,React
686,604,Spring Boot
687,607,FastAPI
692,608,Vue.js
693,609,Node.js
694,613,FastAPI
695,613,Next.js
696,613,Node.js
699,613,Vue.js
700,614,Angular
703,614,Next.js
704,614,Node.js
705,614,React
707,619,ASP.NET CORE
708,620,React
709,621,React
710,624,Vue.js
711,632,Angular
712,641,ASP.NET CORE
714,642,Angular
716,642,ASP.NET CORE
717,642,Node.js
718,643,React
719,645,ASP.NET CORE
720,645,React
721,647,Express
723,647,Vue.js
724,650,ASP.NET CORE
725,650,React
726,651,Express
728,651,Next.js
729,651,Node.js
730,651,React
732,654,FastAPI
733,654,React
734,654,Vue.js
736,657,ASP.NET CORE
741,663,Node.js
746,666,Next.js
747,666,Node.js
748,666,React
750,670,Vue.js
751,672,Angular
753,672,ASP.NET CORE
758,674,Next.js
759,674,Vue.js
761,675,ASP.NET CORE
762,675,Node.js
763,687,Express
764,687,Next.js
765,687,Node.js
766,688,ASP.NET CORE
771,688,Svelte
773,691,Spring Boot
776,692,Node.js
777,692,Svelte
778,695,Angular
779,695,ASP.NET CORE
781,695,Svelte
782,695,Vue.js
783,698,Angular
786,698,Express
787,698,Next.js
788,698,Node.js
789,698,React
791,698,Spring Boot
792,698,Vue.js
793,699,Express
795,699,Node.js
796,699,React
799,701,Next.js
800,701,Node.js
801,701,React
802,701,Svelte
807,704,Svelte
810,709,FastAPI
812,715,React
817,723,Next.js
818,723,Node.js
819,723,React
820,727,React
821,728,ASP.NET CORE
823,729,React
827,731,Node.js
828,731,React
829,735,Node.js
830,735,React
832,738,Express
834,738,Next.js
